"Gene.ID","chromosome_name","start_position","end_position","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"ENSG00000000003","chrX",100627108,100639991,"ENSG00000000003",568.531550311784,-0.290353325366989,0.126143479994705,-2.30177037591778,0.0213481250098233,0.0596142743725338,"TSPAN6"
"ENSG00000000419","chr20",50934867,50959140,"ENSG00000000419",3024.93792328337,0.0891282205258943,0.0789213124864355,1.12933018620557,0.258758571475877,0.407675276664025,"DPM1"
"ENSG00000000457","chr1",169849631,169894267,"ENSG00000000457",65.7412409142479,0.304181981739837,0.312722916060848,0.972688492328624,0.330708146329511,0.486400859730471,"SCYL3"
"ENSG00000000460","chr1",169662007,169854080,"ENSG00000000460",404.369621561074,-0.256422066677288,0.14721473028831,-1.74182343149428,0.0815393452866727,0.168878329763359,"C1orf112"
"ENSG00000001036","chr6",143494812,143511720,"ENSG00000001036",2665.73117535412,-0.0481428445824494,0.0970108791372347,-0.496262326561797,0.619709342500955,0.747443607803936,"FUCA2"
"ENSG00000001084","chr6",53497341,53616970,"ENSG00000001084",2025.65060572362,-0.607959677583782,0.12152635068644,-5.00269837899132,5.65333571262967e-07,5.63907587478658e-06,"GCLC"
"ENSG00000001167","chr6",41072974,41102403,"ENSG00000001167",1042.36797493469,-0.15673540504801,0.124606572056609,-1.25784220255096,0.208448829647414,0.34729195469525,"NFYA"
"ENSG00000001460","chr1",24356999,24416934,"ENSG00000001460",118.525926859477,9.99199458048077,1.20428903990135,8.29700698870368,1.067671001559e-16,4.1683372000356e-15,"STPG1"
"ENSG00000001461","chr1",24415802,24475252,"ENSG00000001461",518.970131357021,1.37898587981837,0.144088327112981,9.57042050142683,1.06471737471086e-21,6.55898004853286e-20,"NIPAL3"
"ENSG00000001497","chrX",65438549,65534810,"ENSG00000001497",813.215469032138,0.255222905892401,0.101876371835185,2.50522178297927,0.0122374631917012,0.0376742996652599,"LAS1L"
"ENSG00000001561","chr6",46129989,46146688,"ENSG00000001561",537.866861327597,-0.315004289313256,0.204917678707923,-1.53722358802553,0.124238565934425,0.234479605542509,"ENPP4"
"ENSG00000001617","chr3",50155045,50189075,"ENSG00000001617",61.0675012875821,2.94987926441251,0.459232457984741,6.42349906484728,1.33176963193424e-10,2.49635533912566e-09,"SEMA3F"
"ENSG00000001629","chr7",92245974,92401383,"ENSG00000001629",1286.06581767536,-0.498330016382269,0.153588908698112,-3.24457033132363,0.00117627965273193,0.00521896933146604,"ANKIB1"
"ENSG00000001631","chr7",92197498,92246166,"ENSG00000001631",17.9354445418188,-0.451079530284618,0.712224006807501,-0.633339407227444,0.526512024503012,0.673748529058708,"KRIT1"
"ENSG00000002016","chr12",911736,990053,"ENSG00000002016",110.970985002128,-0.260005939877817,0.247452705522756,-1.05072983271103,0.293382690307278,0.447168767931981,"RAD52"
"ENSG00000002330","chr11",64269830,64284704,"ENSG00000002330",1089.71537702092,1.13703688500209,0.117867919751036,9.6467035933422,5.0761235698075e-22,3.25802088179425e-20,"BAD"
"ENSG00000002549","chr4",17577198,17607972,"ENSG00000002549",1771.06856079235,0.33536080900716,0.0909548985888597,3.68711102106858,0.000226814418846737,0.00122059611968487,"LAP3"
"ENSG00000002586","chrX",2691187,2741309,"ENSG00000002586",2361.82526371823,0.637269166869748,0.0980505451925949,6.49939442578312,8.0643971761487e-11,1.56426336997479e-09,"CD99"
"ENSG00000002587","chr4",11393150,11429564,"ENSG00000002587",3.14080907281558,3.6205519108767,1.7734281254396,2.04155548169127,0.0411956450899301,NA,"HS3ST1"
"ENSG00000002746","chr7",43112629,43566001,"ENSG00000002746",4.06917768790062,0.0870031521030313,1.07197232961699,0.0811617517535338,0.935313316807644,NA,"HECW1"
"ENSG00000002834","chr17",38869859,38921770,"ENSG00000002834",6495.74372744218,0.56204263892546,0.125212633671224,4.4887055119473,7.16572744256322e-06,5.65644898379797e-05,"LASP1"
"ENSG00000002919","chr17",48103357,48123601,"ENSG00000002919",186.147813381351,0.539501132068798,0.2368459530253,2.27785666243226,0.0227351190620857,0.0626588258881988,"SNX11"
"ENSG00000003056","chr12",8940361,8949761,"ENSG00000003056",1130.04747524577,0.0567038677414799,0.148417525520917,0.382056415119847,0.702419519602575,0.809681324946682,"M6PR"
"ENSG00000003096","chrX",117897813,118117340,"ENSG00000003096",7.04824018428106,-0.396521980623014,1.0003406791923,-0.396386939840511,0.691819599242997,0.801911541898629,"KLHL13"
"ENSG00000003147","chr7",8113184,8262687,"ENSG00000003147",3.67005946683599,-0.479460515069276,1.30297904072403,-0.367972546053275,0.712893705238643,NA,"ICA1"
"ENSG00000003249","chr16",90004871,90019890,"ENSG00000003249",161.37985603042,0.0463205413981243,0.278929368335112,0.166065487024922,0.868105414344933,0.922352597889975,"DBNDD1"
"ENSG00000003393","chr2",201700267,201782112,"ENSG00000003393",400.615664160831,-0.0592047499512334,0.135568026790574,-0.436716173812081,0.662317198128883,0.780106315513257,"ALS2"
"ENSG00000003400","chr2",201182872,201229428,"ENSG00000003400",33.8602638327802,-0.627810430383881,0.519499799543769,-1.20849022643557,0.226858752937522,0.369527166125576,"CASP10"
"ENSG00000003402","chr2",201116154,201176687,"ENSG00000003402",543.581341186646,0.657161037049465,0.202429768529635,3.24636560038974,0.00116888624352156,0.00518992265821473,"CFLAR"
"ENSG00000003436","chr2",187464230,187565760,"ENSG00000003436",4367.41518066469,0.843027558301594,0.0826647750200966,10.1981473740979,2.02090524580884e-24,1.57797945276245e-22,"TFPI"
"ENSG00000003509","chr2",37231631,37253403,"ENSG00000003509",299.887768359849,0.0735827376900991,0.193251584277293,0.380761368478701,0.703380327226857,0.810560202244223,"NDUFAF7"
"ENSG00000003756","chr3",50088919,50119021,"ENSG00000003756",467.911715288461,0.148855472830291,0.170233749397772,0.874418106614525,0.381890600311986,0.538936149999408,"RBM5"
"ENSG00000003987","chr8",17296794,17413528,"ENSG00000003987",12.1038436934276,0.472705936616083,0.712829429963051,0.663140320455884,0.507240689269408,0.656558294768628,"MTMR7"
"ENSG00000003989","chr8",17497088,17570573,"ENSG00000003989",1142.38577078793,-0.789762202875606,0.102073590381379,-7.73718451486626,1.01642497267484e-14,3.2031757686429e-13,"SLC7A2"
"ENSG00000004059","chr7",127588386,127591700,"ENSG00000004059",1775.74721793948,0.123372207288005,0.138366432917219,0.891633936691964,0.372589173922576,0.529634819470878,"ARF5"
"ENSG00000004139","chr17",28364356,28404049,"ENSG00000004139",279.968262002394,1.08666298354608,0.175284917468614,6.1994095056162,5.66753928539701e-10,9.44197969297221e-09,"SARM1"
"ENSG00000004142","chr17",28346633,28357527,"ENSG00000004142",1235.11426089572,0.104845942654801,0.0950087923035427,1.10353936843897,0.269793004940066,0.41968109313579,"POLDIP2"
"ENSG00000004399","chr3",129555214,129606676,"ENSG00000004399",160.972414337932,1.18344055519001,0.259211698599899,4.56553682407941,4.98217725787838e-06,4.0772036718512e-05,"PLXND1"
"ENSG00000004455","chr1",33007986,33080996,"ENSG00000004455",4840.36949213796,0.564851221271794,0.0927188783805105,6.09208427817355,1.11449979570624e-09,1.78131069042539e-08,"AK2"
"ENSG00000004478","chr12",2794970,2805423,"ENSG00000004478",10071.922892509,-0.232328533233925,0.0977919629684533,-2.37574260891841,0.0175136748602204,0.0505771825939792,"FKBP4"
"ENSG00000004487","chr1",23019443,23083689,"ENSG00000004487",533.554966744961,0.0252865764220418,0.14986993127029,0.168723480472127,0.866014148814635,0.921088621405397,"KDM1A"
"ENSG00000004534","chr3",49940007,50100045,"ENSG00000004534",332.770037023266,0.34969814775578,0.15256853227539,2.29207256922788,0.0219014559687822,0.0608131254181882,"RBM6"
"ENSG00000004660","chr17",3860315,3894891,"ENSG00000004660",52.7307305197625,-1.73765936291752,0.352015026023442,-4.93632156146028,7.9609807365038e-07,7.74552879752381e-06,"CAMKK1"
"ENSG00000004700","chr12",21468910,21501669,"ENSG00000004700",701.995770273409,0.212378860351314,0.129479668004987,1.64024872494371,0.100953462059733,0.199644391008644,"RECQL"
"ENSG00000004766","chr7",93232340,93361123,"ENSG00000004766",232.834029072908,-0.462747553530477,0.204817957509147,-2.25931143517927,0.0238640190958219,0.0650542606394664,"VPS50"
"ENSG00000004776","chr19",35754566,35758079,"ENSG00000004776",19.8975898410782,-0.838334012818017,0.59372393588075,-1.41199295186643,0.157952036479788,0.282965660559071,"HSPB6"
"ENSG00000004777","chr19",35774532,35788822,"ENSG00000004777",88.075159074058,-0.576062650257821,0.412463812584135,-1.3966380387378,0.162522445436575,0.288999515318679,"ARHGAP33"
"ENSG00000004779","chr16",23581014,23596316,"ENSG00000004779",2550.36831525021,-0.623297112058891,0.119690208323102,-5.20758649175636,1.91312670656757e-07,2.09401966926891e-06,"NDUFAB1"
"ENSG00000004799","chr7",95583499,95596516,"ENSG00000004799",40.6879620802122,1.27162668601927,0.545605909943808,2.33066882679156,0.019770829167368,0.0559359784820596,"PDK4"
"ENSG00000004838","chr3",50341110,50345732,"ENSG00000004838",26.7193385789692,-0.0693304392510102,0.734585148990001,-0.094380398713933,0.924806985854606,0.95567806116426,"ZMYND10"
"ENSG00000004864","chr7",96120220,96322147,"ENSG00000004864",290.499388016438,0.0628629631614899,0.193645026320822,0.324629887768672,0.745461204151523,0.841880138341181,"SLC25A13"
"ENSG00000004866","chr7",116953238,117230176,"ENSG00000004866",610.178834175169,0.31219998730134,0.153803812759526,2.02985856917259,0.0423709174821023,0.10198803797626,"ST7"
"ENSG00000004897","chr17",47117703,47189422,"ENSG00000004897",4043.69415354988,-0.529184196140122,0.114446060366073,-4.62387429018915,3.76638176124091e-06,3.16463838321126e-05,"CDC27"
"ENSG00000004961","chrX",11111301,11123086,"ENSG00000004961",668.756232956883,0.44701738812977,0.162081033813241,2.75798702422424,0.00581585064483252,0.0201687448529001,"HCCS"
"ENSG00000004975","chr17",7225342,7234517,"ENSG00000004975",272.462323556943,0.0538721032564146,0.196177182632488,0.27460942467166,0.783616324781116,0.867234136092056,"DVL2"
"ENSG00000005007","chr19",18831959,18868230,"ENSG00000005007",679.006293131145,0.375265810415898,0.148741860026087,2.52293342539943,0.0116380431704776,0.0361466357301456,"UPF1"
"ENSG00000005020","chr7",26667068,26995239,"ENSG00000005020",876.174912782172,0.508400269978944,0.18308337542886,2.77687839645763,0.00548837085022434,0.019212432396602,"SKAP2"
"ENSG00000005022","chrX",119468422,119471396,"ENSG00000005022",16045.3415832295,-0.0955686392675965,0.0688576821896075,-1.38791542539055,0.165162800130285,0.292211107922812,"SLC25A5"
"ENSG00000005059","chr4",109560209,109688719,"ENSG00000005059",340.259839506803,1.10639743690622,0.172652390700368,6.40823699236421,1.47211957452747e-10,2.73849982763768e-09,"MCUB"
"ENSG00000005073","chr7",27181157,27185232,"ENSG00000005073",9.36497122505877,-2.39044754923655,1.09958418876947,-2.17395591319993,0.0297084462959447,0.0776868266087855,"HOXA11"
"ENSG00000005075","chr7",102473128,102478922,"ENSG00000005075",918.345616855458,0.184013942967009,0.144068815662116,1.27726421655729,0.201508982299177,0.338907753327701,"POLR2J"
"ENSG00000005100","chr17",5440917,5468982,"ENSG00000005100",888.817727122582,-0.202446072727728,0.150009406002567,-1.34955585867905,0.177158491314951,0.308623837577091,"DHX33"
"ENSG00000005156","chr17",34980512,35009743,"ENSG00000005156",584.487063427645,-0.836237517477393,0.106308928911825,-7.86610801215939,3.65844698865494e-15,1.20561563532045e-13,"LIG3"
"ENSG00000005175","chr12",47661249,47706030,"ENSG00000005175",693.964196331878,0.225557365601195,0.131029502362042,1.72142427113832,0.0851738631231461,0.174971393633623,"RPAP3"
"ENSG00000005187","chr16",20610243,20797581,"ENSG00000005187",46.0615519850946,-3.6485261994034,0.504671433508108,-7.22950806635023,4.84746717558101e-13,1.23802291886349e-11,"ACSM3"
"ENSG00000005189","chr16",20806429,20849665,"ENSG00000005189",65.7159145534462,-0.775701691448502,0.304450518722563,-2.54787442866989,0.0108381475516636,0.0339981706335324,"REXO5"
"ENSG00000005194","chr16",57428187,57447420,"ENSG00000005194",1339.6061656377,-0.548460150551397,0.093518279382307,-5.86473739865622,4.49844061596133e-09,6.52619923207928e-08,"CIAPIN1"
"ENSG00000005206","chr19",2328615,2355095,"ENSG00000005206",209.465658192319,0.622838293597102,0.198457858133564,3.13839068633868,0.00169878285452136,0.00714911740939835,"SPPL2B"
"ENSG00000005238","chr9",35104112,35116341,"ENSG00000005238",48.2052011924822,1.74178253009179,0.439686190483006,3.96142195909861,7.45047340127561e-05,0.000460591797409166,"FAM214B"
"ENSG00000005243","chr17",48026167,48038030,"ENSG00000005243",26.5475900572712,0.253679762374162,0.464120587483635,0.546581576459603,0.584666229211138,0.721414717259546,"COPZ2"
"ENSG00000005249","chr7",107044705,107161811,"ENSG00000005249",293.621257302702,-0.864241285868417,0.165561125319547,-5.22007375946714,1.78851884912751e-07,1.96288742806215e-06,"PRKAR2B"
"ENSG00000005302","chrX",11758159,11775772,"ENSG00000005302",458.686587376177,0.552432522889041,0.122546673113383,4.50793570199916,6.54614060742926e-06,5.21098296795294e-05,"MSL3"
"ENSG00000005339","chr16",3725054,3880713,"ENSG00000005339",370.333501045367,-0.447149617861064,0.174949646935042,-2.55587608031635,0.0105920832353748,0.0333200791332974,"CREBBP"
"ENSG00000005379","chr17",58301228,58328795,"ENSG00000005379",2.25284678790424,-4.97399628334505,3.77045003441225,-1.319204932554,0.187100609717235,NA,"TSPOAP1"
"ENSG00000005436","chr2",75652000,75710985,"ENSG00000005436",234.00412815947,-0.0342916637712191,0.18819536282351,-0.182213117564315,0.855415478994079,0.914326937558207,"GCFC2"
"ENSG00000005448","chr2",74421678,74425755,"ENSG00000005448",266.341815709222,-0.0931533180290302,0.157970785547403,-0.589686996277406,0.555400514839657,0.696154710423011,"WDR54"
"ENSG00000005469","chr7",87345664,87399794,"ENSG00000005469",161.536405973932,-0.427731100071051,0.209724971065356,-2.03948579846392,0.0414015671637956,0.100443659580639,"CROT"
"ENSG00000005483","chr7",104940943,105115019,"ENSG00000005483",775.08199954012,0.0356310063491964,0.125074236304597,0.284878863960625,0.775736949439644,0.861625374937084,"KMT2E"
"ENSG00000005486","chr7",75842602,75888926,"ENSG00000005486",575.190321579784,0.880318545134576,0.148382517194158,5.93276459909818,2.97875786205335e-09,4.42089499163584e-08,"RHBDD2"
"ENSG00000005700","chr6",82169986,82247754,"ENSG00000005700",285.152246856274,-0.0938423428712457,0.147929758867371,-0.634370958147654,0.525838758082696,0.673097769169445,"IBTK"
"ENSG00000005801","chr11",3339261,3379222,"ENSG00000005801",96.9816547199302,0.281303666084655,0.266241898969165,1.05657173860991,0.290707084268835,0.443863263924729,"ZNF195"
"ENSG00000005810","chr13",77042474,77327094,"ENSG00000005810",375.524702293138,-0.15417303867523,0.16919444532778,-0.911218086247167,0.3621804762866,0.518991286826117,"MYCBP2"
"ENSG00000005812","chr13",76992598,77027195,"ENSG00000005812",371.452021397108,-0.103220016181922,0.159617165062539,-0.646672406075376,0.517843985591605,0.665993434679761,"FBXL3"
"ENSG00000005882","chr17",50094737,50112152,"ENSG00000005882",395.654852464525,-0.420686836208767,0.158278978266354,-2.65788192984687,0.00786334360151239,0.0260602133579185,"PDK2"
